sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,18.8359,7.22122,2.53893,4.20299,18.9724,7.34576,2.78185,4.22447,0.108484,0.0939683,0.587951,0.492228
R,18.9604,7.43283,2.43767,4.25737,19.0662,7.57173,2.6116,4.31386,0.108452,0.0946449,0.584671,0.489257
L,19.0798,7.64712,2.3345,4.3098,19.1607,7.81493,2.46519,4.39958,0.108163,0.0958594,0.581315,0.4864
R,19.1939,7.86397,2.22949,4.36017,19.2757,8.03447,2.36156,4.45151,0.107886,0.097086,0.578024,0.483599
L,19.3028,8.08329,2.12266,4.40842,19.3583,8.25324,2.22774,4.50256,0.107419,0.0982577,0.574727,0.480854
R,19.4062,8.30497,2.01409,4.45445,19.4513,8.47759,2.11277,4.55002,0.106903,0.0994424,0.571475,0.478162
L,19.5042,8.5289,1.90381,4.49819,19.5461,8.65421,2.03315,4.54972,0.106382,0.0997779,0.56835,0.475438
R,19.5966,8.75494,1.7919,4.53956,19.6305,8.88253,1.90187,4.59889,0.105837,0.100137,0.565233,0.472771
L,19.6835,8.983,1.67841,4.57848,19.7837,9.0608,1.91304,4.58198,0.105776,0.0999141,0.562599,0.470108
R,19.7645,9.21294,1.56341,4.61488,19.8515,9.29971,1.75824,4.63853,0.105585,0.0997776,0.559841,0.467495
L,19.8398,9.44463,1.44697,4.64869,19.9785,9.50805,1.72926,4.6471,0.106005,0.0994503,0.557543,0.46492
R,19.9093,9.67795,1.32916,4.67984,20.0216,9.75065,1.54024,4.70377,0.106076,0.0991983,0.554941,0.462393
L,19.9728,9.91275,1.21005,4.70826,20.111,9.97149,1.46579,4.72203,0.106474,0.0988514,0.552586,0.459902
R,20.0303,10.1489,1.08972,4.73389,20.1635,10.2213,1.33322,4.76477,0.106793,0.0986072,0.550212,0.45746
L,20.0818,10.3863,0.968259,4.75666,20.2163,10.4648,1.21106,4.7974,0.107123,0.0984169,0.547875,0.455066
R,20.1271,10.6247,0.845742,4.77652,20.2325,10.712,1.01502,4.83525,0.107106,0.0983075,0.545288,0.452729
L,20.1663,10.864,0.722256,4.7934,20.2934,10.9573,0.921383,4.85901,0.107331,0.0982571,0.542847,0.450438
R,20.1993,11.1041,0.597892,4.80727,20.3182,11.2108,0.776896,4.88689,0.107454,0.0983463,0.540373,0.448207
L,20.2261,11.3449,0.472738,4.81807,20.3527,11.4429,0.666231,4.89454,0.107664,0.0983434,0.537988,0.446003
