sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,17.9872,6.01269,3.10453,3.84027,18.1542,6.26395,3.36661,3.86262,0.222905,0.165768,0.62982,0.544082
R,18.1402,6.20641,3.01542,3.90462,18.2663,6.53408,3.19966,4.00105,0.221905,0.168909,0.62602,0.540604
L,18.2888,6.40332,2.92421,3.96753,18.4242,6.73536,3.12625,4.05867,0.220998,0.172022,0.622368,0.537182
R,18.4328,6.60333,2.83093,4.0289,18.5207,6.99667,2.94434,4.18636,0.219802,0.176623,0.618499,0.534025
L,18.572,6.80638,2.7356,4.08867,18.6656,7.20717,2.86314,4.24231,0.218661,0.181202,0.614739,0.530916
R,18.7064,7.01237,2.63825,4.14672,18.8047,7.4084,2.77877,4.29341,0.217568,0.18543,0.611087,0.527842
L,18.8359,7.22122,2.53893,4.20299,18.9414,7.62419,2.69526,4.34632,0.216538,0.189643,0.607551,0.524815
R,18.9604,7.43283,2.43767,4.25737,18.9688,7.87967,2.44859,4.46738,0.215216,0.194835,0.603837,0.522121
L,19.0798,7.64712,2.3345,4.3098,19.0887,8.10408,2.35488,4.51748,0.213917,0.200048,0.600192,0.519466
R,19.1939,7.86397,2.22949,4.36017,19.2121,8.28073,2.27041,4.54721,0.21265,0.203987,0.596626,0.516768
L,19.3028,8.08329,2.12266,4.40842,19.3231,8.50905,2.17466,4.59377,0.211407,0.207975,0.593132,0.514113
R,19.4062,8.30497,2.01409,4.45445,19.3901,8.71306,2.04905,4.63262,0.210181,0.211393,0.589686,0.511476
L,19.5042,8.5289,1.90381,4.49819,19.49,8.94555,1.95043,4.67499,0.208975,0.214869,0.586308,0.508881
R,19.5966,8.75494,1.7919,4.53956,19.5709,9.13735,1.81284,4.71436,0.207803,0.217499,0.582972,0.506324
L,19.6835,8.983,1.67841,4.57848,19.6588,9.37384,1.70978,4.7527,0.206648,0.220206,0.579697,0.50381
R,19.7645,9.21294,1.56341,4.61488,19.6945,9.63059,1.5215,4.81311,0.20563,0.223361,0.576484,0.501439
L,19.8398,9.44463,1.44697,4.64869,19.7677,9.87189,1.41258,4.84619,0.204636,0.226601,0.57332,0.499106
R,19.9093,9.67795,1.32916,4.67984,19.7693,10.1255,1.18951,4.89846,0.204043,0.230145,0.570381,0.496909
L,19.9728,9.91275,1.21005,4.70826,19.8258,10.3709,1.07356,4.92517,0.203515,0.233781,0.567483,0.494742
R,20.0303,10.1489,1.08972,4.73389,19.8293,10.6885,0.932668,4.96533,0.203488,0.239101,0.564689,0.492682
