sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,14.6161,20.5063,-4.50443,1.74272,14.6043,20.4941,-4.47439,1.75253,0.18402,0.119311,0.800752,0.33094
R,14.3897,20.5904,-4.55149,1.62386,14.3796,20.5788,-4.51794,1.63698,0.183399,0.118911,0.798047,0.329822
L,14.1611,20.6686,-4.59537,1.50421,14.1321,20.6353,-4.57935,1.47591,0.182798,0.118543,0.795366,0.328722
R,13.9304,20.7408,-4.63606,1.38386,13.9023,20.7061,-4.6163,1.35591,0.182202,0.118181,0.792712,0.327632
L,13.6977,20.807,-4.67357,1.26294,13.6361,20.7472,-4.68007,1.18097,0.181667,0.11789,0.790083,0.326613
R,13.4632,20.8671,-4.70789,1.14153,13.4014,20.8031,-4.70978,1.05627,0.181138,0.117616,0.787479,0.325611
L,13.2271,20.9211,-4.73904,1.01975,13.1553,20.8436,-4.74431,0.911514,0.180638,0.117398,0.784902,0.324663
R,12.9895,20.969,-4.76702,0.897694,12.9176,20.8859,-4.76697,0.784432,0.180144,0.117208,0.782349,0.323736
L,12.7506,21.0108,-4.79186,0.775469,12.7144,20.9673,-4.7597,0.744286,0.179586,0.116881,0.779826,0.322699
R,12.5106,21.0465,-4.81358,0.653175,12.4761,21.0013,-4.77744,0.620351,0.179031,0.116562,0.777328,0.321674
L,12.2695,21.0761,-4.83219,0.530912,12.2362,21.0492,-4.79282,0.527696,0.178479,0.11621,0.774854,0.320648
R,12.0276,21.0996,-4.84773,0.408778,11.9964,21.0724,-4.8048,0.404358,0.177931,0.115862,0.772406,0.319632
L,11.785,21.117,-4.86022,0.286869,11.7371,21.0265,-4.82187,0.17182,0.177411,0.11572,0.769979,0.318756
R,11.5418,21.1283,-4.86971,0.165281,11.496,21.0319,-4.82473,0.0433451,0.176893,0.115609,0.767578,0.317905
L,11.2982,21.1335,-4.87623,0.0441057,11.2707,21.0446,-4.81543,-0.0579005,0.176356,0.115463,0.765205,0.317018
R,11.0544,21.1327,-4.87982,-0.076565,11.0302,21.0385,-4.81222,-0.185156,0.175821,0.115344,0.762858,0.316153
L,10.8105,21.1259,-4.88053,-0.196643,10.8008,21.0013,-4.79345,-0.350015,0.175283,0.115403,0.760545,0.31541
R,10.5666,21.1131,-4.8784,-0.31604,10.5615,20.9806,-4.78234,-0.478359,0.174748,0.115515,0.75826,0.314703
L,10.3229,21.0943,-4.87349,-0.434674,10.3096,21.0219,-4.79297,-0.496684,0.174221,0.115302,0.755985,0.313785
R,10.0795,21.0697,-4.86585,-0.552463,10.0705,20.9939,-4.77857,-0.620097,0.173696,0.115105,0.753735,0.312882
L,9.83658,21.0391,-4.85554,-0.669327,9.85346,20.9668,-4.74842,-0.728611,0.173181,0.114896,0.75152,0.311978
R,9.59422,21.0028,-4.84262,-0.785189,9.61669,20.9273,-4.7281,-0.850552,0.172673,0.114701,0.749332,0.311089
L,9.35258,20.9607,-4.82714,-0.899977,9.40131,20.8805,-4.69035,-0.972079,0.172202,0.114528,0.747186,0.310217
R,9.11177,20.9128,-4.80919,-1.01362,9.16759,20.8289,-4.66369,-1.09281,0.171748,0.114372,0.745069,0.309362
L,8.87192,20.8594,-4.78881,-1.12605,8.90518,20.7868,-4.66055,-1.18932,0.171264,0.114172,0.742952,0.308494
R,8.63315,20.8003,-4.76608,-1.2372,8.67308,20.7244,-4.62873,-1.30768,0.170793,0.113987,0.740863,0.307643
L,8.39557,20.7358,-4.74108,-1.34701,8.41648,20.6113,-4.59383,-1.49742,0.170306,0.11405,0.738803,0.306966
R,8.1593,20.6657,-4.71387,-1.45542,8.18794,20.5335,-4.55336,-1.61633,0.16983,0.114163,0.736778,0.306326
L,7.92445,20.5903,-4.68453,-1.56237,7.95159,20.4514,-4.5179,-1.73124,0.169356,0.114319,0.734778,0.305716
R,7.69111,20.5096,-4.65313,-1.66781,7.72698,20.362,-4.4715,-1.84778,0.168896,0.114536,0.732815,0.305148
L,7.45939,20.4237,-4.61975,-1.7717,7.45779,20.3103,-4.48001,-1.89135,0.168418,0.114529,0.730818,0.304417
R,7.22939,20.3326,-4.58448,-1.87399,7.23514,20.2129,-4.43119,-2.00306,0.167945,0.114559,0.728853,0.303715
L,7.00119,20.2364,-4.54738,-1.97462,6.985,20.1377,-4.41784,-2.06707,0.16748,0.114476,0.726878,0.302944
R,6.7749,20.1352,-4.50854,-2.07357,6.76554,20.0317,-4.36584,-2.17475,0.167015,0.114418,0.724934,0.302196
L,6.55059,20.0292,-4.46805,-2.17079,6.52245,19.952,-4.35002,-2.22865,0.166567,0.114246,0.722982,0.301391
R,6.32834,19.9183,-4.42598,-2.26625,6.30644,19.838,-4.29545,-2.33209,0.166116,0.114087,0.721058,0.300601
L,6.10823,19.8027,-4.38241,-2.35993,6.05445,19.7594,-4.29394,-2.36575,0.165709,0.113819,0.719115,0.299779
R,5.89034,19.6824,-4.33744,-2.45178,5.84128,19.6387,-4.23806,-2.46445,0.165298,0.113555,0.717196,0.298965
L,5.67472,19.5577,-4.29114,-2.5418,5.63663,19.5263,-4.18244,-2.54388,0.164874,0.113271,0.715299,0.298156
R,5.46145,19.4284,-4.24359,-2.62995,5.42912,19.3968,-4.12278,-2.63947,0.164448,0.11299,0.713429,0.297354
L,5.25059,19.2948,-4.19488,-2.71622,5.20632,19.3112,-4.10596,-2.65955,0.164039,0.112694,0.711549,0.296587
R,5.04219,19.157,-4.1451,-2.80059,5.00266,19.176,-4.04567,-2.7504,0.163628,0.112403,0.709691,0.295819
L,4.8363,19.015,-4.09432,-2.88305,4.81942,19.0172,-3.9555,-2.87116,0.163199,0.112105,0.707883,0.295037
R,4.63297,18.8689,-4.04263,-2.96359,4.62341,18.8715,-3.88943,-2.96004,0.162771,0.11181,0.706105,0.29426
L,4.43224,18.7188,-3.99012,-3.0422,4.42972,18.7468,-3.83822,-3.01278,0.162344,0.111535,0.70434,0.293496
R,4.23416,18.5648,-3.93685,-3.11888,4.23963,18.5941,-3.76989,-3.09786,0.161921,0.111264,0.702607,0.292735
L,4.03876,18.4071,-3.88293,-3.19362,4.08525,18.4338,-3.66468,-3.19514,0.161536,0.110992,0.70096,0.291975
R,3.84606,18.2457,-3.82841,-3.26644,3.90396,18.2721,-3.5912,-3.27752,0.161173,0.110722,0.699359,0.291223
L,3.65611,18.0807,-3.77339,-3.33732,3.67588,18.1392,-3.59046,-3.30128,0.160765,0.110517,0.697686,0.290487
R,3.46891,17.9122,-3.71795,-3.40627,3.49829,17.9722,-3.51743,-3.37898,0.160368,0.110318,0.696051,0.289751
L,3.28449,17.7402,-3.66215,-3.47331,3.29253,17.8038,-3.47908,-3.44203,0.159962,0.110131,0.694405,0.289024
R,3.10287,17.565,-3.60609,-3.53844,3.12055,17.6299,-3.40424,-3.51607,0.159562,0.109949,0.692798,0.288297
L,2.92405,17.3866,-3.54982,-3.60167,2.9243,17.5345,-3.41137,-3.47971,0.159161,0.110172,0.691124,0.287702
R,2.74805,17.2051,-3.49344,-3.66302,2.75563,17.3589,-3.33961,-3.54863,0.158763,0.110433,0.68948,0.287096
L,2.57486,17.0205,-3.437,-3.72251,2.59073,17.1618,-3.25498,-3.63738,0.158372,0.110608,0.687883,0.286444
R,2.4045,16.833,-3.38059,-3.78014,2.42997,16.9784,-3.17941,-3.70362,0.157989,0.110807,0.686324,0.285784
L,2.23695,16.6427,-3.32428,-3.83595,2.2661,16.8021,-3.11737,-3.75408,0.157613,0.111098,0.684786,0.285138
R,2.07221,16.4497,-3.26812,-3.88995,2.11226,16.6129,-3.04008,-3.81694,0.157251,0.111413,0.683292,0.284484
L,1.91027,16.254,-3.21219,-3.94216,1.97176,16.3604,-2.91087,-3.94763,0.156926,0.111389,0.681948,0.283789
R,1.75112,16.0557,-3.15656,-3.99261,1.8284,16.1616,-2.82715,-4.00801,0.156637,0.111364,0.680678,0.283102
L,1.59474,15.8549,-3.10129,-4.04132,1.62963,16.0037,-2.84642,-4.00079,0.156277,0.111575,0.679263,0.282431
R,1.44111,15.6517,-3.04644,-4.08832,1.48941,15.8024,-2.76592,-4.05686,0.155937,0.111795,0.677907,0.28176
L,1.29021,15.4463,-2.99207,-4.13364,1.33017,15.5777,-2.70172,-4.12519,0.155588,0.111897,0.676581,0.281086
R,1.14201,15.2386,-2.93825,-4.1773,1.19723,15.3702,-2.61926,-4.17803,0.155264,0.111999,0.675327,0.280416
L,0.996486,15.0288,-2.88503,-4.21933,1.00441,15.157,-2.62019,-4.21162,0.154897,0.112082,0.673972,0.279751
R,0.853604,14.8169,-2.83246,-4.25977,0.875509,14.9453,-2.53931,-4.26088,0.154538,0.112164,0.672682,0.27909
L,0.71333,14.603,-2.78061,-4.29864,0.749662,14.7272,-2.45654,-4.31213,0.154195,0.112224,0.671468,0.278436
R,0.575628,14.3872,-2.72952,-4.33598,0.628983,14.5106,-2.37371,-4.35828,0.153878,0.112279,0.670339,0.277789
L,0.440459,14.1696,-2.67925,-4.37181,0.45954,14.2946,-2.36632,-4.38379,0.153525,0.112341,0.669118,0.277143
R,0.307779,13.9502,-2.62984,-4.40617,0.343327,14.0745,-2.2852,-4.42661,0.153188,0.112399,0.667979,0.276504
L,0.177545,13.7292,-2.58135,-4.43909,0.29673,13.8062,-2.08249,-4.52833,0.153049,0.112262,0.667298,0.275933
