sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
R,15.2799,20.2185,-4.34427,2.09347,21.6138,13.2908,-1.37544,1.08154,2.44125,3.88965,1.83348,2.60625
L,15.0613,20.3203,-4.4008,1.97763,21.5451,13.3449,-1.37544,1.08154,2.49169,3.91926,1.84434,2.59831
R,14.84,20.4162,-4.4542,1.86068,21.4615,13.2736,-1.56942,0.924351,2.5429,3.95029,1.85345,2.59055
L,14.6161,20.5063,-4.50443,1.74272,21.3831,13.3199,-1.56942,0.924351,2.59497,3.98121,1.86293,2.58261
R,14.3897,20.5904,-4.55149,1.62386,21.1096,13.6398,-1.85457,0.915236,2.64452,4.00866,1.86981,2.57453
L,14.1611,20.6686,-4.59537,1.50421,21.0168,13.6855,-1.85457,0.915236,2.6948,4.03593,1.87701,2.56633
R,13.9304,20.7408,-4.63606,1.38386,20.7638,13.9405,-2.10807,0.863544,2.74315,4.0606,1.88209,2.55811
L,13.6977,20.807,-4.67357,1.26294,20.6584,13.9837,-2.10807,0.863544,2.79211,4.08504,1.88743,2.54984
R,13.4632,20.8671,-4.70789,1.14153,20.5188,13.958,-2.38816,0.590347,2.84115,4.10997,1.8906,2.54183
L,13.2271,20.9211,-4.73904,1.01975,20.3994,13.9875,-2.38816,0.590347,2.8906,4.13469,1.89397,2.53375
R,12.9895,20.969,-4.76702,0.897694,19.9665,14.534,-2.63573,0.730696,2.93554,4.15374,1.89561,2.52554
L,12.7506,21.0108,-4.79186,0.775469,19.8347,14.5705,-2.63573,0.730696,2.98087,4.17251,1.8974,2.51738
R,12.5106,21.0465,-4.81358,0.653175,19.5114,14.8579,-2.86115,0.70715,3.02371,4.18852,1.89776,2.50931
L,12.2695,21.0761,-4.83219,0.530912,19.3683,14.8933,-2.86115,0.70715,3.06684,4.20422,1.89824,2.50134
