sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
R,17.8297,5.82221,3.19151,3.77458,17.868,5.81932,3.25884,3.07122,0.0799447,0.155537,0.897213,0.911573
L,17.9872,6.01269,3.10453,3.84027,18.0339,6.0419,3.2446,3.24614,0.0795931,0.154533,0.891358,0.908071
R,18.1402,6.20641,3.01542,3.90462,18.1991,6.20517,3.2335,3.24205,0.0793555,0.153513,0.885828,0.905273
L,18.2888,6.40332,2.92421,3.96753,18.3108,6.49167,3.10211,3.56914,0.0788785,0.152845,0.88029,0.90052
R,18.4328,6.60333,2.83093,4.0289,18.4556,6.66451,2.9914,3.52228,0.0784139,0.15202,0.874818,0.896566
L,18.572,6.80638,2.7356,4.08867,18.5997,6.81492,2.98886,3.45863,0.0779782,0.151058,0.86973,0.893689
R,18.7064,7.01237,2.63825,4.14672,18.7599,6.99259,3.04286,3.48144,0.0777202,0.150127,0.86546,0.891195
L,18.8359,7.22122,2.53893,4.20299,18.9554,7.15378,3.12968,3.43839,0.0783712,0.149385,0.862602,0.889742
R,18.9604,7.43283,2.43767,4.25737,19.0601,7.30259,2.81393,3.30415,0.0786662,0.149167,0.858333,0.890544
L,19.0798,7.64712,2.3345,4.3098,19.1303,7.63549,2.62549,3.74401,0.0783875,0.148271,0.853744,0.887339
R,19.1939,7.86397,2.22949,4.36017,19.2585,7.82092,2.60078,3.73218,0.0782373,0.147461,0.849614,0.884699
L,19.3028,8.08329,2.12266,4.40842,19.3273,8.0755,2.46021,3.91831,0.0778215,0.146593,0.845394,0.881084
R,19.4062,8.30497,2.01409,4.45445,19.433,8.26383,2.42846,3.90367,0.0774215,0.145806,0.841652,0.877958
L,19.5042,8.5289,1.90381,4.49819,19.5267,8.42132,2.38775,3.8171,0.077013,0.145423,0.838407,0.875946
R,19.5966,8.75494,1.7919,4.53956,19.6273,8.60151,2.2375,3.74235,0.0766437,0.145517,0.834982,0.875091
L,19.6835,8.983,1.67841,4.57848,19.7833,8.80172,2.31877,3.76281,0.0769428,0.145967,0.833048,0.874446
R,19.7645,9.21294,1.56341,4.61488,19.8758,8.97665,2.12536,3.66524,0.0774079,0.147276,0.830522,0.875317
L,19.8398,9.44463,1.44697,4.64869,19.9895,9.25344,2.10648,3.89538,0.0785635,0.147829,0.828835,0.874069
R,19.9093,9.67795,1.32916,4.67984,20.0554,9.4254,1.83516,3.75151,0.0796068,0.149363,0.826004,0.874677
L,19.9728,9.91275,1.21005,4.70826,20.1204,9.72003,1.74379,4.02392,0.0806448,0.149896,0.823414,0.872851
R,20.0303,10.1489,1.08972,4.73389,20.2048,9.92071,1.75199,4.0304,0.0822098,0.150942,0.821866,0.871223
L,20.0818,10.3863,0.968259,4.75666,20.2312,10.2603,1.57941,4.38819,0.0832012,0.150701,0.81993,0.867449
R,20.1271,10.6247,0.845742,4.77652,20.2661,10.4508,1.29224,4.21729,0.0839739,0.150961,0.81692,0.864805
L,20.1663,10.864,0.722256,4.7934,20.3036,10.7827,1.19121,4.5213,0.0846943,0.150408,0.814092,0.860779
R,20.1993,11.1041,0.597892,4.80727,20.3503,11.0003,1.11017,4.4719,0.0856291,0.150005,0.811579,0.857046
L,20.2261,11.3449,0.472738,4.81807,20.3732,11.2774,1.02338,4.61187,0.0864678,0.1494,0.809364,0.852958
