sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,19.3028,8.08329,2.12266,4.40842,19.3661,8.09003,2.54583,3.95272,0.121321,0.115782,0.973094,0.485877
R,19.4062,8.30497,2.01409,4.45445,19.4934,8.28766,2.54583,3.95272,0.120979,0.115122,0.969118,0.486064
L,19.5042,8.5289,1.90381,4.49819,19.5079,8.41197,2.24909,3.75986,0.120283,0.115143,0.964243,0.489703
R,19.5966,8.75494,1.7919,4.53956,19.6203,8.59996,2.24909,3.75986,0.119624,0.115673,0.959986,0.493955
L,19.6835,8.983,1.67841,4.57848,19.8445,8.83027,2.54301,3.87115,0.120169,0.116155,0.958967,0.496862
R,19.7645,9.21294,1.56341,4.61488,19.9717,9.02383,2.54301,3.87115,0.121479,0.117215,0.959199,0.500275
L,19.8398,9.44463,1.44697,4.64869,20.123,9.31719,2.60648,4.13364,0.124402,0.117333,0.961627,0.50044
R,19.9093,9.67795,1.32916,4.67984,20.2533,9.52387,2.60648,4.13364,0.128819,0.117794,0.965613,0.50096
L,19.9728,9.91275,1.21005,4.70826,20.2903,9.80402,2.36111,4.32686,0.132289,0.1177,0.967797,0.499826
R,20.0303,10.1489,1.08972,4.73389,20.4084,10.0204,2.36111,4.32686,0.137241,0.11782,0.971526,0.49893
L,20.0818,10.3863,0.968259,4.75666,20.3779,10.3324,1.97033,4.57841,0.139856,0.117329,0.971852,0.496634
R,20.1271,10.6247,0.845742,4.77652,20.4764,10.5613,1.97033,4.57841,0.14362,0.116896,0.973567,0.494454
L,20.1663,10.864,0.722256,4.7934,20.4909,10.8812,1.74933,4.81766,0.146628,0.116305,0.974133,0.491905
R,20.1993,11.1041,0.597892,4.80727,20.5783,11.122,1.74933,4.81766,0.150817,0.115724,0.976105,0.48939
L,20.2261,11.3449,0.472738,4.81807,20.5218,11.3569,1.37054,4.80185,0.152967,0.115144,0.975346,0.486915
R,20.2466,11.5861,0.346889,4.82575,20.5903,11.597,1.37054,4.80185,0.156033,0.114572,0.97584,0.48448
L,20.2608,11.8275,0.220439,4.83027,20.6404,11.8804,1.32204,4.91575,0.159786,0.114125,0.977165,0.48215
R,20.2687,12.0692,0.093487,4.83159,20.7065,12.1262,1.32204,4.91575,0.164805,0.113705,0.979943,0.479853
L,20.2701,12.3108,-0.0338694,4.82968,20.5886,12.4234,0.838152,5.05089,0.166978,0.113694,0.978952,0.478016
R,20.2652,12.5522,-0.161529,4.82451,20.6305,12.6759,0.838152,5.05089,0.169989,0.113794,0.979153,0.47623
L,20.254,12.7933,-0.28939,4.81605,20.6005,12.9136,0.649082,5.01177,0.172525,0.113857,0.978774,0.474341
R,20.2363,13.0339,-0.417348,4.80428,20.633,13.1642,0.649082,5.01177,0.175979,0.114023,0.979637,0.472528
L,20.2122,13.2738,-0.545298,4.78918,20.4712,13.3134,0.138272,4.74509,0.176935,0.113554,0.977286,0.470334
R,20.1818,13.5129,-0.673135,4.77072,20.4781,13.5506,0.138272,4.74509,0.178408,0.113085,0.975879,0.468158
L,20.1449,13.7509,-0.800753,4.74892,20.4189,13.8298,-0.0357557,4.85542,0.179516,0.112819,0.974152,0.466117
R,20.1017,13.9878,-0.928043,4.72374,20.4171,14.0726,-0.0357557,4.85542,0.181211,0.112595,0.973439,0.464164
L,20.0521,14.2233,-1.0549,4.69521,20.2942,14.3243,-0.354229,4.87893,0.181851,0.112496,0.971323,0.462397
R,19.9962,14.4573,-1.18121,4.66331,20.2765,14.5682,-0.354229,4.87893,0.182965,0.112482,0.97013,0.460779
L,19.934,14.6897,-1.30687,4.62805,20.0618,14.796,-0.872279,4.83639,0.18255,0.112429,0.966692,0.459154
R,19.8655,14.9202,-1.43177,4.58944,20.0182,15.0378,-0.872279,4.83639,0.18231,0.112476,0.963869,0.45772
L,19.7908,15.1486,-1.55581,4.54751,19.9936,15.249,-0.822135,4.75577,0.182499,0.112377,0.962104,0.45614
R,19.7099,15.3749,-1.67887,4.50226,19.9525,15.4868,-0.822135,4.75577,0.183102,0.112372,0.961245,0.454779
L,19.6229,15.5989,-1.80085,4.45372,19.9121,15.6543,-0.820339,4.57087,0.184268,0.112008,0.961412,0.452961
R,19.5298,15.8203,-1.92164,4.40193,19.8711,15.8828,-0.820339,4.57087,0.186156,0.111681,0.962683,0.451305
L,19.4307,16.039,-2.04114,4.3469,19.6836,16.0695,-1.2055,4.46078,0.186817,0.111246,0.961685,0.449526
R,19.3257,16.2549,-2.15925,4.28868,19.6234,16.2925,-1.2055,4.46078,0.188011,0.110835,0.961619,0.447925
L,19.2148,16.4679,-2.27586,4.22731,19.4291,16.4151,-1.55793,4.19652,0.188243,0.11048,0.959859,0.446079
R,19.0981,16.6777,-2.39087,4.16284,19.3512,16.6249,-1.55793,4.19652,0.188865,0.11013,0.958887,0.444257
L,18.9757,16.8841,-2.50418,4.0953,19.1618,16.8364,-1.85105,4.20084,0.188843,0.109765,0.956795,0.44255
R,18.8477,17.0872,-2.61571,4.02476,19.0693,17.0464,-1.85105,4.20084,0.189129,0.109383,0.9554,0.441046
L,18.7142,17.2866,-2.72534,3.95127,18.8275,17.3087,-2.24349,4.33817,0.188644,0.108963,0.952546,0.440639
R,18.5752,17.4822,-2.83299,3.87489,18.7153,17.5256,-2.24349,4.33817,0.188308,0.108598,0.950211,0.440823
L,18.4309,17.674,-2.93858,3.79568,18.3967,17.6644,-2.78658,4.13263,0.18759,0.108173,0.946559,0.440101
R,18.2814,17.8617,-3.042,3.71372,18.2573,17.871,-2.78658,4.13263,0.186868,0.107753,0.943124,0.439939
L,18.1268,18.0453,-3.14318,3.62906,18.1557,18.0646,-2.68753,4.09842,0.18616,0.107348,0.940318,0.440175
R,17.9671,18.2246,-3.24204,3.5418,18.0213,18.2695,-2.68753,4.09842,0.185503,0.107007,0.937956,0.441188
L,17.8026,18.3994,-3.3385,3.45199,17.893,18.3688,-2.67146,3.82064,0.184962,0.106631,0.936185,0.44068
R,17.6334,18.5697,-3.43247,3.35973,17.7595,18.5599,-2.67146,3.82064,0.184587,0.10623,0.934981,0.440836
L,17.4595,18.7353,-3.5239,3.26509,17.5264,18.7315,-2.93318,3.76968,0.183983,0.10583,0.932867,0.44135
R,17.281,18.8962,-3.61271,3.16817,17.3797,18.92,-2.93318,3.76968,0.183494,0.105455,0.931232,0.44276
L,17.0983,19.0521,-3.69883,3.06904,17.2096,19.0169,-2.99483,3.52881,0.183064,0.105107,0.929753,0.442888
R,16.9113,19.203,-3.78221,2.9678,17.0599,19.1934,-2.99483,3.52881,0.182834,0.104723,0.928785,0.443872
L,16.7201,19.3488,-3.86278,2.86455,16.7713,19.2388,-3.35992,3.1842,0.182218,0.104763,0.926386,0.443091
R,16.5251,19.4894,-3.9405,2.75938,16.6033,19.398,-3.35992,3.1842,0.181679,0.104672,0.924346,0.442962
L,16.3262,19.6246,-4.01531,2.65237,16.3523,19.5819,-3.57839,3.2491,0.181038,0.104358,0.92176,0.444258
R,16.1237,19.7545,-4.08716,2.54364,16.1733,19.7443,-3.57839,3.2491,0.180439,0.103988,0.919468,0.446666
L,15.9176,19.8789,-4.15602,2.43329,15.9655,19.8917,-3.65447,3.20954,0.179843,0.103624,0.917175,0.449854
R,15.7082,19.9978,-4.22185,2.32141,15.7828,20.0522,-3.65447,3.20954,0.179318,0.10336,0.915179,0.454421
L,15.4956,20.111,-4.28461,2.2081,15.5313,20.2007,-3.83538,3.178,0.178715,0.10327,0.912747,0.460036
R,15.2799,20.2185,-4.34427,2.09347,15.3395,20.3596,-3.83538,3.178,0.178162,0.10358,0.91056,0.467259
L,15.0613,20.3203,-4.4008,1.97763,15.17,20.4855,-3.77693,3.0913,0.177776,0.104131,0.908893,0.474741
R,14.84,20.4162,-4.4542,1.86068,14.9811,20.6401,-3.77693,3.0913,0.17755,0.105415,0.907508,0.48395
L,14.6161,20.5063,-4.50443,1.74272,14.7404,20.718,-3.91329,2.88979,0.177242,0.106497,0.905729,0.491493
R,14.3897,20.5904,-4.55149,1.62386,14.5447,20.8625,-3.91329,2.88979,0.177102,0.108468,0.904187,0.500761
L,14.1611,20.6686,-4.59537,1.50421,14.2267,20.8361,-4.2353,2.44022,0.176588,0.10897,0.90163,0.504934
R,13.9304,20.7408,-4.63606,1.38386,14.0149,20.9581,-4.2353,2.44022,0.176134,0.110046,0.899215,0.510586
L,13.6977,20.807,-4.67357,1.26294,13.6652,20.9339,-4.59793,2.05556,0.175569,0.110166,0.896254,0.512964
R,13.4632,20.8671,-4.70789,1.14153,13.4353,21.0366,-4.59793,2.05556,0.175006,0.110661,0.893346,0.516621
L,13.2271,20.9211,-4.73904,1.01975,13.165,21.0116,-4.70442,1.71944,0.174505,0.110541,0.890426,0.518028
R,12.9895,20.969,-4.76702,0.897694,12.9297,21.0976,-4.70442,1.71944,0.174004,0.110668,0.887544,0.520572
L,12.7506,21.0108,-4.79186,0.775469,12.7681,21.1323,-4.511,1.58458,0.173448,0.110741,0.884964,0.522944
R,12.5106,21.0465,-4.81358,0.653175,12.5425,21.2115,-4.511,1.58458,0.17291,0.111173,0.882456,0.526572
L,12.2695,21.0761,-4.83219,0.530912,12.2713,21.2162,-4.63108,1.38863,0.172358,0.111381,0.879787,0.529337
R,12.0276,21.0996,-4.84773,0.408778,12.0397,21.2857,-4.63108,1.38863,0.171815,0.11201,0.877168,0.533387
L,11.785,21.117,-4.86022,0.286869,11.7559,21.1531,-4.76852,0.857381,0.171289,0.111694,0.874436,0.533628
R,11.5418,21.1283,-4.86971,0.165281,11.5175,21.196,-4.76852,0.857381,0.170764,0.111473,0.871736,0.534765
L,11.2982,21.1335,-4.87623,0.0441057,11.3137,21.1688,-4.67754,0.673076,0.170237,0.111161,0.869165,0.535401
R,11.0544,21.1327,-4.87982,-0.076565,11.0798,21.2024,-4.67754,0.673076,0.169722,0.110952,0.866624,0.536986
L,10.8105,21.1259,-4.88053,-0.196643,10.8642,21.1086,-4.62946,0.337924,0.169253,0.11062,0.864185,0.536971
R,10.5666,21.1131,-4.8784,-0.31604,10.6327,21.1255,-4.62946,0.337924,0.168815,0.110286,0.861766,0.537761
L,10.3229,21.0943,-4.87349,-0.434674,10.3137,21.1699,-4.85962,0.410055,0.168305,0.110109,0.859151,0.540147
R,10.0795,21.0697,-4.86585,-0.552463,10.0708,21.1904,-4.85962,0.410055,0.167798,0.110176,0.85656,0.543675
L,9.83658,21.0391,-4.85554,-0.669327,9.89727,21.1156,-4.67687,0.159393,0.167361,0.110004,0.854103,0.545825
R,9.59422,21.0028,-4.84262,-0.785189,9.66343,21.1235,-4.67687,0.159393,0.166948,0.110071,0.851653,0.549056
L,9.35258,20.9607,-4.82714,-0.899977,9.47477,21.0263,-4.55801,-0.117401,0.166718,0.109861,0.849382,0.550729
R,9.11177,20.9128,-4.80919,-1.01362,9.24687,21.0204,-4.55801,-0.117401,0.16655,0.109848,0.8471,0.553392
L,8.87192,20.8594,-4.78881,-1.12605,8.88884,20.9352,-4.90026,-0.326037,0.166067,0.109679,0.844662,0.555153
R,8.63315,20.8003,-4.76608,-1.2372,8.64383,20.9189,-4.90026,-0.326037,0.165586,0.109733,0.842265,0.55788
L,8.39557,20.7358,-4.74108,-1.34701,8.32624,20.73,-5.09113,-0.779997,0.16519,0.109416,0.840249,0.557933
R,8.1593,20.6657,-4.71387,-1.45542,8.07169,20.691,-5.09113,-0.779997,0.164849,0.109118,0.838319,0.558679
L,7.92445,20.5903,-4.68453,-1.56237,7.84552,20.5687,-5.01647,-0.998992,0.164486,0.108818,0.836297,0.558706
R,7.69111,20.5096,-4.65313,-1.66781,7.59469,20.5188,-5.01647,-0.998992,0.164178,0.108511,0.834367,0.559393
L,7.45939,20.4237,-4.61975,-1.7717,7.27644,20.4371,-5.19383,-1.08229,0.164291,0.108209,0.833125,0.560212
R,7.22939,20.3326,-4.58448,-1.87399,7.01674,20.383,-5.19383,-1.08229,0.164602,0.10797,0.832036,0.561779
L,7.00119,20.2364,-4.54738,-1.97462,6.78112,20.27,-5.13054,-1.23733,0.164964,0.107698,0.830853,0.562912
R,6.7749,20.1352,-4.50854,-2.07357,6.52459,20.2081,-5.13054,-1.23733,0.165559,0.107535,0.829838,0.564796
L,6.55059,20.0292,-4.46805,-2.17079,6.31798,20.0916,-4.99926,-1.38107,0.166004,0.107338,0.828484,0.566284
R,6.32834,19.9183,-4.42598,-2.26625,6.06801,20.0225,-4.99926,-1.38107,0.166668,0.107321,0.827297,0.568525
L,6.10823,19.8027,-4.38241,-2.35993,5.83583,19.9028,-4.95249,-1.51428,0.167428,0.107283,0.826109,0.570405
R,5.89034,19.6824,-4.33744,-2.45178,5.58821,19.8271,-4.95249,-1.51428,0.168451,0.107522,0.825108,0.573036
L,5.67472,19.5577,-4.29114,-2.5418,5.48499,19.6789,-4.57268,-1.70497,0.168573,0.1076,0.823135,0.574788
R,5.46145,19.4284,-4.24359,-2.62995,5.25636,19.5936,-4.57268,-1.70497,0.168791,0.107992,0.821274,0.577239
L,5.25059,19.2948,-4.19488,-2.71622,5.08647,19.4801,-4.4182,-1.77946,0.168766,0.108551,0.819238,0.579754
R,5.04219,19.157,-4.1451,-2.80059,4.86556,19.3911,-4.4182,-1.77946,0.168809,0.1096,0.817299,0.582987
L,4.8363,19.015,-4.09432,-2.88305,4.74641,19.1702,-4.15056,-2.12653,0.168489,0.109891,0.815144,0.584041
R,4.63297,18.8689,-4.04263,-2.96359,4.53888,19.0638,-4.15056,-2.12653,0.168183,0.11051,0.813034,0.585659
L,4.43224,18.7188,-3.99012,-3.0422,4.38789,18.9066,-4.00186,-2.26047,0.167773,0.111055,0.810903,0.586856
R,4.23416,18.5648,-3.93685,-3.11888,4.1878,18.7935,-4.00186,-2.26047,0.167369,0.111988,0.808802,0.588595
L,4.03876,18.4071,-3.88293,-3.19362,4.10106,18.5983,-3.70372,-2.47684,0.166995,0.112542,0.806807,0.589331
R,3.84606,18.2457,-3.82841,-3.26644,3.91588,18.4744,-3.70372,-2.47684,0.16664,0.113446,0.804775,0.590537
L,3.65611,18.0807,-3.77339,-3.33732,3.61877,18.2749,-3.99809,-2.6759,0.166233,0.114007,0.80287,0.590922
R,3.46891,17.9122,-3.71795,-3.40627,3.41886,18.1411,-3.99809,-2.6759,0.165847,0.114885,0.801069,0.591717
L,3.28449,17.7402,-3.66215,-3.47331,3.18033,17.901,-4.09969,-2.95559,0.165592,0.115164,0.799641,0.591365
R,3.10287,17.565,-3.60609,-3.53844,2.97534,17.7532,-4.09969,-2.95559,0.165422,0.115648,0.79839,0.591322
L,2.92405,17.3866,-3.54982,-3.60167,2.84231,17.692,-3.91044,-2.72793,0.165107,0.11737,0.796792,0.593078
R,2.74805,17.2051,-3.49344,-3.66302,2.64679,17.5556,-3.91044,-2.72793,0.16485,0.11967,0.795344,0.595277
L,2.57486,17.0205,-3.437,-3.72251,2.49365,17.2815,-3.79899,-3.08988,0.164539,0.120784,0.793774,0.595469
R,2.4045,16.833,-3.38059,-3.78014,2.3037,17.127,-3.79899,-3.08988,0.164284,0.122247,0.792354,0.595975
L,2.23695,16.6427,-3.32428,-3.83595,2.17144,16.9152,-3.64724,-3.24071,0.163944,0.123436,0.790725,0.595971
R,2.07221,16.4497,-3.26812,-3.88995,1.98908,16.7532,-3.64724,-3.24071,0.163645,0.124954,0.789231,0.596244
L,1.91027,16.254,-3.21219,-3.94216,1.84094,16.3909,-3.55726,-3.76736,0.163317,0.125015,0.787672,0.594913
R,1.75112,16.0557,-3.15656,-3.99261,1.66307,16.2025,-3.55726,-3.76736,0.163036,0.12513,0.786254,0.593675
L,1.59474,15.8549,-3.10129,-4.04132,1.46964,16.0435,-3.59819,-3.6902,0.162874,0.125514,0.785113,0.592742
R,1.44111,15.6517,-3.04644,-4.08832,1.28974,15.859,-3.59819,-3.6902,0.16282,0.126034,0.784157,0.591959
L,1.29021,15.4463,-2.99207,-4.13364,1.14038,15.573,-3.51783,-3.957,0.162761,0.126037,0.783123,0.590668
R,1.14201,15.2386,-2.93825,-4.1773,0.964491,15.3752,-3.51783,-3.957,0.162834,0.126089,0.78228,0.589456
L,0.996486,15.0288,-2.88503,-4.21933,0.761436,15.1073,-3.58927,-4.14111,0.163252,0.125907,0.781928,0.588082
R,0.853604,14.8169,-2.83246,-4.25977,0.581972,14.9003,-3.58927,-4.14111,0.163931,0.12574,0.781812,0.58675
L,0.71333,14.603,-2.78061,-4.29864,0.540524,14.698,-3.22628,-4.12864,0.163974,0.125613,0.780572,0.585487
R,0.575628,14.3872,-2.72952,-4.33598,0.379209,14.4915,-3.22628,-4.12864,0.16414,0.125522,0.779486,0.584289
L,0.440459,14.1696,-2.67925,-4.37181,0.232546,14.2512,-3.18775,-4.21781,0.164371,0.125353,0.778444,0.583024
R,0.307779,13.9502,-2.62984,-4.40617,0.0731587,14.0403,-3.18775,-4.21781,0.164765,0.125213,0.777567,0.581814
L,0.177545,13.7292,-2.58135,-4.43909,0.138608,13.7701,-2.59642,-4.37377,0.164406,0.124955,0.775774,0.580488
